year,month,day,dep_time,sched_dep_time,dep_delay
2013,1,4,654,659,-5
2013,1,4,712,715,-3
2013,1,4,735,737,-2
2013,1,4,756,759,-3
2013,1,4,810,730,40
2013,1,4,826,830,-4
2013,1,4,843,840,3
2013,1,4,858,900,-2
2013,1,4,923,930,-7
2013,1,4,947,834,73
2013,1,4,1009,1010,-1
2013,1,4,1040,1045,-5
2013,1,4,1105,1050,15
2013,1,4,1131,1140,-9
2013,1,4,1157,1200,-3
2013,1,4,1238,1159,39
2013,1,4,1257,1259,-2
2013,1,4,1325,1315,10
2013,1,4,1351,1355,-4
2013,1,4,1428,1429,-1
2013,1,4,1447,1437,10
2013,1,4,1459,1500,-1
2013,1,4,1516,1520,-4
2013,1,4,1538,1540,-2
2013,1,4,1554,1540,14
2013,1,4,1609,1610,-1
2013,1,4,1633,1640,-7
2013,1,4,1651,1650,1
2013,1,4,1706,1636,30
2013,1,4,1725,1725,0
2013,1,4,1745,1745,0
2013,1,4,1808,1815,-7
2013,1,4,1822,1830,-8
2013,1,4,1842,1845,-3
2013,1,4,1901,1910,-9
2013,1,4,1922,1915,7
2013,1,4,1942,1904,38
2013,1,4,2005,1940,25
2013,1,4,2031,2000,31
2013,1,4,2057,2100,-3
2013,1,4,2130,2135,-5
2013,1,4,2249,2145,64
2013,1,5,553,600,-7
2013,1,5,606,600,6
2013,1,5,631,630,1
2013,1,5,700,700,0
2013,1,5,728,730,-2
2013,1,5,755,800,-5
2013,1,5,808,600,128
2013,1,5,830,835,-5
2013,1,5,848,851,-3
2013,1,5,907,910,-3
2013,1,5,938,920,18
2013,1,5,1008,1015,-7
2013,1,5,1047,1050,-3
2013,1,5,1134,1130,4
2013,1,5,1151,1200,-9
2013,1,5,1229,1235,-6
2013,1,5,1303,1300,3
2013,1,5,1328,1330,-2
2013,1,5,1356,1400,-4
2013,1,5,1440,1445,-5
2013,1,5,1454,1500,-6
2013,1,5,1522,1525,-3
2013,1,5,1540,1545,-5
2013,1,5,1559,1605,-6
2013,1,5,1615,1615,0
2013,1,5,1639,1635,4
2013,1,5,1703,1705,-2
2013,1,5,1723,1730,-7
2013,1,5,1750,1725,25
2013,1,5,1820,1830,-10
2013,1,5,1846,1845,1
2013,1,5,1917,1840,37
2013,1,5,1941,1940,1
2013,1,5,2018,2029,-11
2013,1,5,2101,2100,1
2013,1,5,2221,2220,1
2013,1,6,557,600,-3
2013,1,6,624,610,14
2013,1,6,655,700,-5
2013,1,6,722,725,-3
2013,1,6,754,759,-5
2013,1,6,809,810,-1
2013,1,6,825,830,-5
2013,1,6,848,855,-7
2013,1,6,907,908,-1
2013,1,6,935,905,30
2013,1,6,1002,1000,2
2013,1,6,1035,1030,5
2013,1,6,1107,1115,-8
2013,1,6,1132,1129,3
2013,1,6,1158,1200,-2
2013,1,6,1228,1230,-2
2013,1,6,1256,1252,4
2013,1,6,1325,1330,-5
2013,1,6,1351,1356,-5
2013,1,6,1427,1429,-2
2013,1,6,1446,1410,36
2013,1,6,1456,1500,-4
2013,1,6,1513,1506,7
2013,1,6,1532,1533,-1
2013,1,6,1552,1600,-8
2013,1,6,1603,1605,-2
2013,1,6,1631,1630,1
2013,1,6,1650,1645,5
2013,1,6,1710,1715,-5
2013,1,6,1726,1605,81
2013,1,6,1749,1706,43
2013,1,6,1802,1810,-8
2013,1,6,1818,1811,7
2013,1,6,1839,1836,3
2013,1,6,1858,1851,7
2013,1,6,1918,1859,19
2013,1,6,1940,1930,10
2013,1,6,1958,2002,-4
2013,1,6,2024,2005,19
2013,1,6,2056,2050,6
2013,1,6,2136,2140,-4
2013,1,6,2300,2245,15
2013,1,7,556,600,-4
2013,1,7,613,615,-2
2013,1,7,627,630,-3
2013,1,7,652,700,-8
2013,1,7,704,700,4
2013,1,7,722,730,-8
2013,1,7,751,753,-2
2013,1,7,803,810,-7
2013,1,7,820,827,-7
2013,1,7,834,840,-6
2013,1,7,855,900,-5
2013,1,7,909,859,10
2013,1,7,936,920,16
2013,1,7,959,959,0
2013,1,7,1022,1015,7
2013,1,7,1059,1050,9
2013,1,7,1115,1115,0
2013,1,7,1137,1144,-7
2013,1,7,1202,1200,2
2013,1,7,1239,1245,-6
2013,1,7,1256,1130,86
2013,1,7,1323,1325,-2
2013,1,7,1349,1330,19
2013,1,7,1428,1429,-1
2013,1,7,1444,1445,-1
2013,1,7,1454,1500,-6
2013,1,7,1507,1506,1
2013,1,7,1534,1530,4
2013,1,7,1550,1549,1
2013,1,7,1601,1600,1
2013,1,7,1619,1619,0
2013,1,7,1641,1645,-4
2013,1,7,1657,1700,-3
2013,1,7,1712,1705,7
2013,1,7,1728,1729,-1
2013,1,7,1750,1753,-3
2013,1,7,1807,1810,-3
2013,1,7,1825,1820,5
2013,1,7,1850,1855,-5
2013,1,7,1908,1910,-2
2013,1,7,1924,1850,34
2013,1,7,1944,1955,-11
2013,1,7,2007,1856,71
2013,1,7,2040,2040,0
2013,1,7,2100,2100,0
2013,1,7,2156,2135,21
2013,1,8,524,525,-1
2013,1,8,558,601,-3
2013,1,8,622,600,22
2013,1,8,634,636,-2
2013,1,8,658,700,-2
2013,1,8,711,715,-4
2013,1,8,735,750,-15
2013,1,8,757,759,-2
2013,1,8,811,815,-4
2013,1,8,826,830,-4
2013,1,8,846,845,1
2013,1,8,857,900,-3
2013,1,8,919,924,-5
2013,1,8,952,959,-7
2013,1,8,1013,1015,-2
2013,1,8,1047,1050,-3
2013,1,8,1110,1114,-4
2013,1,8,1136,1145,-9
2013,1,8,1154,1200,-6
2013,1,8,1235,1245,-10
2013,1,8,1257,1259,-2
2013,1,8,1328,1220,68
2013,1,8,1353,1400,-7
2013,1,8,1423,1329,54
2013,1,8,1447,1450,-3
2013,1,8,1459,1505,-6
2013,1,8,1520,1530,-10
2013,1,8,1542,1550,-8
2013,1,8,1554,1550,4
2013,1,8,1603,1545,18
2013,1,8,1630,1640,-10
2013,1,8,1650,1650,0
2013,1,8,1704,1705,-1
2013,1,8,1721,1725,-4
2013,1,8,1743,1745,-2
2013,1,8,1758,1758,0
2013,1,8,1819,1810,9
2013,1,8,1839,1734,65
2013,1,8,1858,1900,-2
2013,1,8,1920,1915,5
2013,1,8,1945,1935,10
2013,1,8,2000,2000,0
2013,1,8,2026,2029,-3
2013,1,8,2053,2100,-7
2013,1,8,2146,2159,-13
2013,1,9,457,500,-3
2013,1,9,559,600,-1
2013,1,9,617,625,-8
2013,1,9,631,635,-4
2013,1,9,653,700,-7
2013,1,9,711,715,-4
2013,1,9,735,740,-5
2013,1,9,755,759,-4
2013,1,9,809,815,-6
2013,1,9,828,828,0
2013,1,9,845,850,-5
2013,1,9,857,904,-7
2013,1,9,917,920,-3
2013,1,9,943,935,8
2013,1,9,1003,1010,-7
2013,1,9,1040,1050,-10
2013,1,9,1104,1105,-1
2013,1,9,1131,1140,-9
2013,1,9,1153,1200,-7
2013,1,9,1223,1230,-7
2013,1,9,1254,1259,-5
2013,1,9,1319,1320,-1
2013,1,9,1349,1400,-11
2013,1,9,1418,1425,-7
2013,1,9,1442,1445,-3
2013,1,9,1455,1500,-5
2013,1,9,1511,1520,-9
2013,1,9,1535,1540,-5
2013,1,9,1554,1600,-6
2013,1,9,1603,1550,13
2013,1,9,1622,1629,-7
2013,1,9,1638,1635,3
2013,1,9,1658,1700,-2
2013,1,9,1716,1725,-9
2013,1,9,1737,1735,2
2013,1,9,1756,1755,1
2013,1,9,1816,1800,16
2013,1,9,1834,1814,20
2013,1,9,1854,1855,-1
2013,1,9,1914,1920,-6
2013,1,9,1942,1915,27
2013,1,9,1957,2000,-3
2013,1,9,2023,2005,18
2013,1,9,2055,2100,-5
2013,1,9,2150,2125,25
2013,1,10,3,2359,4
2013,1,10,556,600,-4
2013,1,10,610,610,0
2013,1,10,628,631,-3
2013,1,10,653,700,-7
2013,1,10,705,710,-5
2013,1,10,727,730,-3
2013,1,10,755,759,-4
2013,1,10,805,805,0
2013,1,10,818,820,-2
2013,1,10,833,840,-7
2013,1,10,855,857,-2
2013,1,10,907,908,-1
2013,1,10,935,940,-5
2013,1,10,957,959,-2
2013,1,10,1024,1006,18
2013,1,10,1055,1056,-1
2013,1,10,1122,1125,-3
2013,1,10,1145,1152,-7
2013,1,10,1204,1210,-6
2013,1,10,1240,1245,-5
2013,1,10,1305,1200,65
2013,1,10,1335,1259,36
2013,1,10,1352,1357,-5
2013,1,10,1420,1420,0
2013,1,10,1447,1447,0
2013,1,10,1459,1459,0
2013,1,10,1513,1459,14
2013,1,10,1531,1535,-4
2013,1,10,1553,1550,3
2013,1,10,1601,1555,6
2013,1,10,1626,1635,-9
2013,1,10,1646,1635,11
2013,1,10,1701,1703,-2
2013,1,10,1719,1705,14
2013,1,10,1738,1745,-7
2013,1,10,1757,1800,-3
2013,1,10,1813,1815,-2
2013,1,10,1830,1830,0
2013,1,10,1853,1855,-2
2013,1,10,1908,1915,-7
2013,1,10,1928,1936,-8
2013,1,10,1951,2000,-9
2013,1,10,2006,1935,31
2013,1,10,2042,2046,-4
2013,1,10,2119,2129,-10
2013,1,10,2228,2159,29
2013,1,11,551,600,-9
2013,1,11,602,610,-8
2013,1,11,624,630,-6
2013,1,11,634,630,4
2013,1,11,654,700,-6
2013,1,11,707,715,-8
2013,1,11,737,745,-8
2013,1,11,755,750,5
2013,1,11,807,810,-3
2013,1,11,826,830,-4
2013,1,11,841,845,-4
2013,1,11,855,900,-5
2013,1,11,914,924,-10
2013,1,11,942,945,-3
2013,1,11,1000,1006,-6
2013,1,11,1026,1030,-4
2013,1,11,1054,1100,-6
2013,1,11,1126,1130,-4
2013,1,11,1152,1200,-8
2013,1,11,1215,1216,-1
2013,1,11,1248,1300,-12
2013,1,11,1308,1315,-7
2013,1,11,1340,1345,-5
2013,1,11,1401,1359,2
2013,1,11,1437,1430,7
2013,1,11,1452,1429,23
2013,1,11,1504,1445,19
2013,1,11,1523,1410,73
2013,1,11,1542,1545,-3
2013,1,11,1557,1600,-3
2013,1,11,1617,1610,7
2013,1,11,1630,1630,0
2013,1,11,1652,1650,2
2013,1,11,1703,1705,-2
2013,1,11,1723,1725,-2
2013,1,11,1747,1708,39
2013,1,11,1807,1808,-1
2013,1,11,1826,1827,-1
2013,1,11,1849,1855,-6
2013,1,11,1901,1850,11
2013,1,11,1926,1930,-4
2013,1,11,1955,2000,-5
2013,1,11,2023,2030,-7
2013,1,11,2044,2000,44
2013,1,11,2121,2125,-4
2013,1,11,2158,2154,4
2013,1,11,,2100,
2013,1,12,559,608,-9
2013,1,12,624,629,-5
2013,1,12,652,655,-3
2013,1,12,716,720,-4
2013,1,12,749,757,-8
2013,1,12,806,810,-4
2013,1,12,827,729,58
2013,1,12,839,825,14
2013,1,12,857,905,-8
2013,1,12,922,925,-3
2013,1,12,950,1000,-10
2013,1,12,1027,1030,-3
2013,1,12,1123,1129,-6
2013,1,12,1146,1152,-6
2013,1,12,1221,1225,-4
2013,1,12,1255,1300,-5
2013,1,12,1317,1325,-8
2013,1,12,1352,1350,2
2013,1,12,1437,1429,8
2013,1,12,1452,1459,-7
2013,1,12,1517,1524,-7
2013,1,12,1540,1540,0
2013,1,12,1557,1600,-3
2013,1,12,1617,1555,22
2013,1,12,1638,1645,-7
2013,1,12,1700,1708,-8
2013,1,12,1723,1720,3
2013,1,12,1752,1755,-3
2013,1,12,1818,1820,-2
2013,1,12,1851,1855,-4
2013,1,12,1930,1920,10
2013,1,12,1954,2000,-6
2013,1,12,2057,2100,-3
2013,1,12,2246,2250,-4
2013,1,13,115,2000,315
2013,1,13,624,635,-11
2013,1,13,654,700,-6
2013,1,13,723,730,-7
2013,1,13,748,745,3
2013,1,13,805,809,-4
2013,1,13,824,825,-1
2013,1,13,843,845,-2
2013,1,13,858,900,-2
2013,1,13,928,929,-1
2013,1,13,958,1000,-2
2013,1,13,1026,1030,-4
2013,1,13,1102,1100,2
2013,1,13,1131,1125,6
2013,1,13,1202,1205,-3
2013,1,13,1236,1240,-4
2013,1,13,1259,1305,-6
2013,1,13,1334,1240,54
2013,1,13,1353,1350,3
2013,1,13,1428,1430,-2
2013,1,13,1453,1429,24
2013,1,13,1507,1510,-3
2013,1,13,1528,1530,-2
2013,1,13,1546,1530,16
2013,1,13,1559,1600,-1
2013,1,13,1625,1545,40
2013,1,13,1649,1640,9
2013,1,13,1704,1645,19
2013,1,13,1726,1729,-3
2013,1,13,1745,1720,25
2013,1,13,1804,1800,4
2013,1,13,1826,1623,123
2013,1,13,1846,1845,1
2013,1,13,1902,1745,77
2013,1,13,1923,1840,43
2013,1,13,1955,2000,-5
2013,1,13,2026,1845,101
2013,1,13,2055,2100,-5
2013,1,13,2136,2135,1
2013,1,13,2221,2039,102
2013,1,13,2345,2250,55
2013,1,14,453,500,-7
2013,1,14,556,605,-9
2013,1,14,620,630,-10
2013,1,14,632,634,-2
2013,1,14,656,700,-4
2013,1,14,705,710,-5
2013,1,14,728,730,-2
2013,1,14,757,803,-6
2013,1,14,814,815,-1
2013,1,14,826,810,16
2013,1,14,839,843,-4
2013,1,14,858,859,-1
2013,1,14,915,915,0
2013,1,14,943,945,-2
2013,1,14,1000,959,1
2013,1,14,1026,1030,-4
2013,1,14,1057,1100,-3
2013,1,14,1123,1125,-2
2013,1,14,1142,1144,-2
2013,1,14,1215,1220,-5
2013,1,14,1246,1251,-5
2013,1,14,1258,1259,-1
2013,1,14,1330,1330,0
2013,1,14,1352,1400,-8
2013,1,14,1424,1429,-5
2013,1,14,1448,1455,-7
2013,1,14,1500,1459,1
2013,1,14,1522,1527,-5
2013,1,14,1536,1540,-4
2013,1,14,1556,1600,-4
2013,1,14,1612,1615,-3
2013,1,14,1629,1635,-6
2013,1,14,1646,1655,-9
2013,1,14,1659,1659,0
2013,1,14,1716,1725,-9
2013,1,14,1735,1720,15
2013,1,14,1753,1700,53
2013,1,14,1809,1810,-1
2013,1,14,1833,1835,-2
2013,1,14,1852,1900,-8
2013,1,14,1910,1915,-5
2013,1,14,1925,1935,-10
2013,1,14,1953,2000,-7
2013,1,14,2022,2030,-8
2013,1,14,2048,2100,-12
2013,1,14,2128,2129,-1
2013,1,14,2246,2250,-4
2013,1,15,554,600,-6
2013,1,15,603,608,-5
2013,1,15,626,630,-4
2013,1,15,650,700,-10
2013,1,15,700,700,0
2013,1,15,723,730,-7
2013,1,15,754,800,-6
2013,1,15,809,815,-6
2013,1,15,822,827,-5
2013,1,15,838,843,-5
2013,1,15,854,900,-6
2013,1,15,905,906,-1
2013,1,15,936,845,51
2013,1,15,958,959,-1
2013,1,15,1027,1031,-4
2013,1,15,1055,1100,-5
2013,1,15,1126,1130,-4
2013,1,15,1151,1155,-4
2013,1,15,1218,1220,-2
2013,1,15,1253,1300,-7
2013,1,15,1316,1320,-4
2013,1,15,1349,1350,-1
2013,1,15,1429,1429,0
2013,1,15,1444,1445,-1
2013,1,15,1454,1500,-6
2013,1,15,1508,1505,3
2013,1,15,1539,1545,-6
2013,1,15,1552,1602,-10
2013,1,15,1606,1610,-4
2013,1,15,1626,1630,-4
2013,1,15,1640,1645,-5
2013,1,15,1700,1705,-5
2013,1,15,1721,1729,-8
2013,1,15,1736,1735,1
2013,1,15,1758,1800,-2
2013,1,15,1816,1815,1
2013,1,15,1842,1845,-3
2013,1,15,1855,1900,-5
2013,1,15,1918,1925,-7
2013,1,15,1941,1945,-4
2013,1,15,1957,2000,-3
2013,1,15,2025,2030,-5
2013,1,15,2055,2105,-10
2013,1,15,2241,2250,-9
2013,1,15,,645,
2013,1,16,601,600,1
2013,1,16,630,631,-1
2013,1,16,655,625,30
2013,1,16,707,705,2
2013,1,16,727,730,-3
2013,1,16,750,752,-2
2013,1,16,811,810,1
2013,1,16,831,759,32
2013,1,16,853,900,-7
2013,1,16,906,855,11
2013,1,16,922,920,2
2013,1,16,944,955,-11
2013,1,16,1005,1006,-1
2013,1,16,1035,1039,-4
2013,1,16,1115,1000,75
2013,1,16,1135,1100,35
2013,1,16,1202,1200,2
2013,1,16,1235,1200,35
2013,1,16,1256,1259,-3
2013,1,16,1324,1330,-6
2013,1,16,1351,1322,29
2013,1,16,1418,1420,-2
2013,1,16,1446,1415,31
2013,1,16,1502,1452,10
2013,1,16,1526,1445,41
2013,1,16,1553,1540,13
2013,1,16,1609,1529,40
2013,1,16,1629,1555,34
2013,1,16,1652,1700,-8
2013,1,16,1711,1700,11
2013,1,16,1724,1635,49
2013,1,16,1751,1729,22
2013,1,16,1819,1820,-1
2013,1,16,1836,1808,28
2013,1,16,1857,1725,92
2013,1,16,1918,1900,18
2013,1,16,1938,1758,100
2013,1,16,2003,2001,2
2013,1,16,2033,2025,8
2013,1,16,2113,1810,183
2013,1,16,2141,1940,121
2013,1,16,2241,2005,156
2013,1,16,,634,
2013,1,16,,1815,
2013,1,16,,645,
2013,1,17,559,600,-1
2013,1,17,621,625,-4
2013,1,17,634,630,4
2013,1,17,656,659,-3
2013,1,17,706,710,-4
2013,1,17,738,740,-2
2013,1,17,756,633,83
2013,1,17,810,810,0
2013,1,17,824,828,-4
2013,1,17,839,840,-1
2013,1,17,856,900,-4
2013,1,17,909,857,12
2013,1,17,933,935,-2
2013,1,17,956,959,-3
2013,1,17,1024,1030,-6
2013,1,17,1054,1050,4
2013,1,17,1122,1125,-3
2013,1,17,1141,1145,-4
2013,1,17,1205,1210,-5
2013,1,17,1247,1300,-13
2013,1,17,1306,1308,-2
2013,1,17,1332,1329,3
2013,1,17,1357,1341,16
2013,1,17,1425,1435,-10
2013,1,17,1446,1440,6
2013,1,17,1458,1455,3
2013,1,17,1521,1509,12
2013,1,17,1545,1545,0
2013,1,17,1559,1600,-1
2013,1,17,1617,1550,27
2013,1,17,1640,1630,10
2013,1,17,1657,1700,-3
2013,1,17,1713,1715,-2
2013,1,17,1729,1725,4
2013,1,17,1750,1710,40
2013,1,17,1808,1810,-2
2013,1,17,1826,1725,61
2013,1,17,1841,1800,41
2013,1,17,1900,1850,10
2013,1,17,1921,1925,-4
2013,1,17,1948,1950,-2
2013,1,17,2005,1959,6
2013,1,17,2041,1935,66
2013,1,17,2103,1930,93
2013,1,17,2142,2125,17
2013,1,17,2352,2359,-7
2013,1,18,555,600,-5
2013,1,18,607,610,-3
2013,1,18,626,631,-5
2013,1,18,645,645,0
2013,1,18,657,700,-3
2013,1,18,715,725,-10
2013,1,18,742,740,2
2013,1,18,800,800,0
2013,1,18,814,815,-1
2013,1,18,829,830,-1
2013,1,18,854,900,-6
2013,1,18,901,904,-3
2013,1,18,928,928,0
2013,1,18,953,1000,-7
2013,1,18,1019,1025,-6
2013,1,18,1047,1015,32
2013,1,18,1119,1129,-10
2013,1,18,1138,1144,-6
2013,1,18,1158,1200,-2
2013,1,18,1240,1215,25
2013,1,18,1258,1253,5
2013,1,18,1322,1325,-3
2013,1,18,1353,1400,-7
2013,1,18,1427,1329,58
2013,1,18,1449,1430,19
2013,1,18,1501,1345,76
2013,1,18,1520,1520,0
2013,1,18,1544,1545,-1
2013,1,18,1557,1600,-3
2013,1,18,1608,1510,58
2013,1,18,1633,1620,13
2013,1,18,1655,1700,-5
2013,1,18,1704,1706,-2
2013,1,18,1724,1725,-1
2013,1,18,1746,1745,1
2013,1,18,1804,1700,64
2013,1,18,1822,1830,-8
2013,1,18,1843,1827,16
2013,1,18,1859,1856,3
2013,1,18,1918,1810,68
2013,1,18,1934,1920,14
2013,1,18,1954,2000,-6
2013,1,18,2034,2025,9
2013,1,18,2055,2100,-5
2013,1,18,2133,2129,4
2013,1,18,2253,1800,293
2013,1,19,556,600,-4
2013,1,19,607,610,-3
2013,1,19,633,635,-2
2013,1,19,702,711,-9
2013,1,19,726,730,-4
2013,1,19,759,805,-6
2013,1,19,815,819,-4
2013,1,19,834,812,22
2013,1,19,854,840,14
2013,1,19,902,900,2
2013,1,19,932,935,-3
2013,1,19,1008,1000,8
2013,1,19,1052,1059,-7
2013,1,19,1129,1129,0
2013,1,19,1155,1200,-5
2013,1,19,1242,1245,-3
2013,1,19,1304,1259,5
2013,1,19,1334,1326,8
2013,1,19,1423,1430,-7
2013,1,19,1443,1450,-7
2013,1,19,1456,1355,61
2013,1,19,1530,1540,-10
2013,1,19,1552,1455,57
2013,1,19,1606,1605,1
2013,1,19,1626,1632,-6
2013,1,19,1651,1659,-8
2013,1,19,1708,1700,8
2013,1,19,1739,1718,21
2013,1,19,1812,1730,42
2013,1,19,1848,1845,3
2013,1,19,1921,1920,1
2013,1,19,1955,1829,86
2013,1,19,2043,2045,-2
2013,1,19,2245,2250,-5
2013,1,20,606,610,-4
2013,1,20,633,635,-2
2013,1,20,703,705,-2
2013,1,20,743,745,-2
2013,1,20,800,807,-7
2013,1,20,822,830,-8
2013,1,20,839,845,-6
2013,1,20,859,900,-1
2013,1,20,928,935,-7
2013,1,20,958,1006,-8
2013,1,20,1023,1030,-7
2013,1,20,1058,1100,-2
2013,1,20,1128,1129,-1
2013,1,20,1154,1200,-6
2013,1,20,1226,1230,-4
2013,1,20,1256,1259,-3
2013,1,20,1324,1325,-1
2013,1,20,1354,1400,-6
2013,1,20,1428,1415,13
2013,1,20,1446,1450,-4
2013,1,20,1459,1504,-5
2013,1,20,1530,1535,-5
2013,1,20,1548,1600,-12
2013,1,20,1557,1600,-3
2013,1,20,1618,1620,-2
2013,1,20,1637,1640,-3
2013,1,20,1655,1705,-10
2013,1,20,1719,1720,-1
2013,1,20,1740,1745,-5
2013,1,20,1804,1706,58
2013,1,20,1821,1830,-9
2013,1,20,1849,1815,34
2013,1,20,1905,1910,-5
2013,1,20,1924,1819,65
2013,1,20,1953,2000,-7
2013,1,20,2021,1946,35
2013,1,20,2047,2000,47
2013,1,20,2136,1700,276
2013,1,20,2259,2102,117
2013,1,21,551,600,-9
2013,1,21,601,608,-7
2013,1,21,624,635,-11
2013,1,21,637,635,2
2013,1,21,656,700,-4
2013,1,21,717,725,-8
2013,1,21,746,747,-1
2013,1,21,802,805,-3
2013,1,21,817,825,-8
2013,1,21,832,825,7
2013,1,21,854,850,4
2013,1,21,901,900,1
2013,1,21,927,928,-1
2013,1,21,955,959,-4
2013,1,21,1019,1023,-4
2013,1,21,1052,1100,-8
2013,1,21,1118,1015,63
2013,1,21,1144,1130,14
2013,1,21,1218,1145,33
2013,1,21,1245,1250,-5
2013,1,21,1306,1315,-9
2013,1,21,1340,1341,-1
2013,1,21,1402,1335,27
2013,1,21,1435,1439,-4
2013,1,21,1452,1500,-8
2013,1,21,1501,1504,-3
2013,1,21,1528,1535,-7
2013,1,21,1550,1520,30
2013,1,21,1601,1600,1
2013,1,21,1622,1630,-8
2013,1,21,1640,1640,0
2013,1,21,1653,1700,-7
2013,1,21,1708,1446,142
2013,1,21,1724,1730,-6
2013,1,21,1743,1450,173
2013,1,21,1802,1810,-8
2013,1,21,1825,1830,-5
2013,1,21,1850,1900,-10
2013,1,21,1901,1905,-4
2013,1,21,1919,1930,-11
2013,1,21,1941,1943,-2
2013,1,21,2015,1928,47
2013,1,21,2046,1745,181
2013,1,21,2103,2045,18
2013,1,21,2148,2045,63
2013,1,21,,1610,
2013,1,22,555,600,-5
2013,1,22,614,615,-1
2013,1,22,629,630,-1
2013,1,22,653,705,-12
2013,1,22,703,658,5
2013,1,22,725,730,-5
2013,1,22,755,759,-4
2013,1,22,808,817,-9
2013,1,22,824,830,-6
2013,1,22,837,829,8
2013,1,22,855,900,-5
2013,1,22,909,855,14
2013,1,22,931,935,-4
2013,1,22,1000,959,1
2013,1,22,1045,1000,45
2013,1,22,1110,924,106
2013,1,22,1135,1140,-5
2013,1,22,1202,1145,17
2013,1,22,1230,1235,-5
